Family,Genus,Species with author,taxon_name,Establishment means,Price 1979,Price 1988,Gibson 1992,Mesaglio 2023
Oxalidaceae,Oxalis,Oxalis perennans Haw.,Oxalis perennans,native,No,No,Yes,Yes
Oxalidaceae,Oxalis,Oxalis thompsoniae B.J.Conn & P.G.Richards,Oxalis thompsoniae,native,No,No,Yes,Yes
Phyllanthaceae,Breynia,Breynia oblongifolia (Müll.Arg.) Müll.Arg.,Breynia oblongifolia,native,Yes,Yes,No,Yes
Phyllanthaceae,Glochidion,Glochidion ferdinandi (Müll.Arg.) F.M.Bailey,Glochidion ferdinandi,native,Yes,Yes,No,Yes
Phyllanthaceae,Phyllanthus,Phyllanthus gunnii Hook.f.,Phyllanthus gunnii,native,Yes,Yes,No,Yes
Phyllanthaceae,Poranthera,Poranthera microphylla Brongn.,Poranthera microphylla,native,Yes,Yes,No,Yes
Pittosporaceae,Bursaria,Bursaria spinosa Cav.,Bursaria spinosa,native,Yes,Yes,No,Yes
Pittosporaceae,Pittosporum,"Pittosporum multiflorum (A.Cunn. ex Loudon) L.W.Cayzer, Crisp & I.Telford",Pittosporum multiflorum,native,No,No,Yes,Yes
Pittosporaceae,Pittosporum,Pittosporum revolutum W.T.Aiton,Pittosporum revolutum,native,Yes,Yes,No,Yes
Pittosporaceae,Pittosporum,Pittosporum undulatum Vent.,Pittosporum undulatum,native,Yes,Yes,No,Yes
Plantaginaceae,Gratiola,Gratiola pedunculata R.Br.,Gratiola pedunculata,native,No,No,Yes,Yes
Plantaginaceae,Plantago,Plantago debilis R.Br.,Plantago debilis,native,No,No,Yes,Yes
Plantaginaceae,Veronica,Veronica plebeia R.Br.,Veronica plebeia,native,No,Yes,No,Yes
Poaceae,Anthosachne,Anthosachne scabra (R.Br.) Nevski,Anthosachne scabra,native,No,No,Yes,Yes
Poaceae,Aristida,Aristida vagans Cav.,Aristida vagans,native,Yes,Yes,No,Yes
Poaceae,Austrostipa,Austrostipa rudis (Spreng.) S.W.L.Jacobs & J.Everett,Austrostipa rudis,native,Yes,Yes,No,Yes
Poaceae,Bothriochloa,Bothriochloa macra (Steud.) S.T.Blake,Bothriochloa macra,native,Yes,Yes,No,Yes
Poaceae,Chloris,Chloris truncata R.Br.,Chloris truncata,native,Yes,Yes,No,Yes
Poaceae,Chloris,Chloris ventricosa R.Br.,Chloris ventricosa,native,No,Yes,No,Yes
Poaceae,Cymbopogon,Cymbopogon refractus (R.Br.) A.Camus,Cymbopogon refractus,native,Yes,Yes,No,Yes
Poaceae,Dichelachne,Dichelachne micrantha (Cav.) Domin,Dichelachne micrantha,native,Yes,Yes,No,Yes
Poaceae,Digitaria,Digitaria parviflora (R.Br.) Hughes,Digitaria parviflora,native,Yes,Yes,No,Yes
Poaceae,Echinopogon,Echinopogon caespitosus C.E.Hubb. ,Echinopogon caespitosus,native,Yes,Yes,No,Yes
Poaceae,Echinopogon,Echinopogon ovatus (G.Forst.) P.Beauv.,Echinopogon ovatus,native,Yes,Yes,No,Yes
Poaceae,Entolasia,Entolasia marginata (R.Br.) Hughes,Entolasia marginata,native,Yes,Yes,No,Yes
Poaceae,Entolasia,Entolasia stricta (R.Br.) Hughes,Entolasia stricta,native,Yes,Yes,No,Yes
Poaceae,Eragrostis,Eragrostis brownii (Kunth) Nees,Eragrostis brownii,native,Yes,Yes,No,Yes
Poaceae,Eragrostis,Eragrostis leptostachya (R.Br.) Steud.,Eragrostis leptostachya,native,Yes,Yes,No,Yes
Poaceae,Eriochloa,Eriochloa pseudoacrotricha (Stapf ex Thell.) J.M.Black,Eriochloa pseudoacrotricha,native,Yes,Yes,No,Yes
Poaceae,Imperata,Imperata cylindrica (L.) P.Beauv.,Imperata cylindrica,native,Yes,Yes,No,Yes
Poaceae,Lachnagrostis,Lachnagrostis filiformis (G.Forst.) Trin.,Lachnagrostis filiformis,native,Yes,Yes,No,Yes
Poaceae,Microlaena,Microlaena stipoides (Labill.) R.Br. ,Microlaena stipoides,native,Yes,Yes,No,Yes
Poaceae,Oplismenus,Oplismenus hirtellus (L.) P.Beauv.,Oplismenus hirtellus,native,Yes,Yes,No,Yes
Poaceae,Panicum,Panicum simile Domin,Panicum simile,native,No,Yes,No,Yes
Poaceae,Paspalidium,Paspalidium criniforme S.T.Blake,Paspalidium criniforme,native,No,Yes,No,Yes
Poaceae,Paspalidium,Paspalidium distans (Trin.) Hughes,Paspalidium distans,native,No,Yes,No,Yes
Poaceae,Phragmites,Phragmites australis (Cav.) Trin. ex Steud.,Phragmites australis,native,Yes,Yes,No,Yes
Poaceae,Poa,Poa sieberiana Spreng. ,Poa sieberiana,native,Yes,Yes,No,Yes
Poaceae,Rytidosperma,Rytidosperma fulvum (Vickery) A.M.Humphreys & H.P.Linder,Rytidosperma fulvum,native,No,Yes,No,Yes
Poaceae,Rytidosperma,Rytidosperma setaceum (R.Br.) Connor & Edgar,Rytidosperma setaceum,native,Yes,Yes,No,Yes
Poaceae,Rytidosperma,Rytidosperma tenuius (Steud.) A.Hansen & Sunding,Rytidosperma tenuius,native,Yes,Yes,No,Yes
Poaceae,Themeda,Themeda triandra Forssk.,Themeda triandra,native,Yes,Yes,No,Yes
Polygonaceae,Persicaria,Persicaria decipiens (R.Br.) K.L.Wilson,Persicaria decipiens,native,Yes,Yes,No,Yes
Polygonaceae,Persicaria,Persicaria lapathifolia (L.) Delarbre,Persicaria lapathifolia,native,Yes,Yes,No,Yes
Polygonaceae,Rumex,Rumex brownii Campd.,Rumex brownii,native,Yes,Yes,No,Yes
Portulacaceae,Portulaca,Portulaca oleracea L.,Portulaca oleracea,native,Yes,Yes,No,Yes
Primulaceae,Myrsine,Myrsine variabilis R.Br.,Myrsine variabilis,native,Yes,Yes,No,Yes
Proteaceae,Hakea,Hakea sericea Schrad. & J.C.Wendl.,Hakea sericea,native,Yes,Yes,No,Yes
Proteaceae,Persoonia,Persoonia linearis Andrews,Persoonia linearis,native,Yes,Yes,No,Yes
Pteridaceae,Adiantum,Adiantum aethiopicum L.,Adiantum aethiopicum,native,Yes,Yes,No,Yes
Pteridaceae,Cheilanthes,Cheilanthes sieberi Kunze ,Cheilanthes sieberi,native,Yes,Yes,No,Yes
Pteridaceae,Pellaea,Pellaea falcata (R.Br.) Fée,Pellaea falcata,native,Yes,Yes,No,Yes
Ranunculaceae,Clematis,Clematis aristata R.Br. ex Ker Gawl.,Clematis aristata,native,Yes,Yes,No,Yes
Ranunculaceae,Clematis,Clematis glycinoides DC.,Clematis glycinoides,native,Yes,Yes,No,Yes
Rhamnaceae,Pomaderris,Pomaderris ferruginea Sieber ex Fenzl,Pomaderris ferruginea,native,Yes,Yes,No,Yes
Rosaceae,Rubus,Rubus parvifolius L.,Rubus parvifolius,native,No,Yes,No,Yes
Rubiaceae,Asperula,Asperula conferta Hook.f.,Asperula conferta,native,No,Yes,No,Yes
Rubiaceae,Opercularia,Opercularia diphylla Gaertn.,Opercularia diphylla,native,Yes,Yes,No,Yes
Rubiaceae,Opercularia,Opercularia varia Hook.f.,Opercularia varia,native,Yes,Yes,No,Yes
Rutaceae,Boronia,Boronia polygalifolia Sm.,Boronia polygalifolia,native,Yes,Yes,No,Yes
Rutaceae,Correa,Correa reflexa (Labill.) Vent.,Correa reflexa,native,Yes,Yes,No,Yes
Rutaceae,Zieria,Zieria smithii Andrews,Zieria smithii,native,Yes,Yes,No,Yes
Santalaceae,Exocarpos,Exocarpos cupressiformis Labill.,Exocarpos cupressiformis,native,Yes,Yes,No,Yes
Sapindaceae,Dodonaea,Dodonaea triquetra J.C.Wendl.,Dodonaea triquetra,native,Yes,Yes,No,Yes
Scrophulariaceae,Eremophila,Eremophila debilis (Andrews) Chinnock,Eremophila debilis,native,Yes,Yes,No,Yes
Scrophulariaceae,Myoporum,Myoporum boninense Koidz.,Myoporum boninense,native,Yes,Yes,No,Yes
Thymelaeaceae,Pimelea,Pimelea linifolia Sm.,Pimelea linifolia,native,Yes,Yes,No,Yes
Typhaceae,Typha,Typha orientalis C.Presl,Typha orientalis,native,Yes,Yes,No,Yes
Xanthorrhoeaceae,Xanthorrhoea,Xanthorrhoea minor R.Br. ,Xanthorrhoea minor,native,Yes,Yes,No,Yes
Zamiaceae,Macrozamia,Macrozamia spiralis (Salisb.) Miq.,Macrozamia spiralis,native,Yes,Yes,No,Yes
