taxon_name,dispersal
Lachnagrostis filiformis,anemochory
Lachnagrostis filiformis,anemochory
Lachnagrostis filiformis,anemochory epizoochory
Lachnagrostis filiformis,anemochory
Lachnagrostis filiformis,anemochory
Lachnagrostis filiformis,anemochory
Lachnagrostis filiformis,anemochory
Lachnagrostis filiformis,anemochory
Lasiopetalum parviflorum,myrmecochory
Laxmannia gracilis,barochory
Laxmannia gracilis,barochory
Lepidosperma laterale,myrmecochory
Lepidosperma laterale,myrmecochory
Lepidosperma laterale,myrmecochory
Lepidosperma laterale,myrmecochory
Lepidosperma laterale,zoochory
Lepidosperma laterale,zoochory
Lepidosperma laterale,zoochory
Lepidosperma laterale,myrmecochory
Lepidosperma laterale,myrmecochory
Leptospermum polygalifolium,anemochory
Leptospermum polygalifolium,anemochory
Leptospermum trinervium,barochory
Leptospermum trinervium,anemochory
Leptospermum trinervium,anemochory
Leucopogon affinis,endozoochory
Leucopogon affinis,myrmecochory zoochory
Leucopogon affinis,endozoochory
Leucopogon affinis,endozoochory
Leucopogon affinis,endozoochory
Leucopogon affinis,endozoochory
Leucopogon affinis,endozoochory
Leucopogon affinis,endozoochory
Leucopogon affinis,endozoochory
Leucopogon affinis,endozoochory
Leucopogon juniperinus,myrmecochory zoochory
Leucopogon juniperinus,barochory
Leucopogon juniperinus,endozoochory
Linum marginale,zoochory
Linum marginale,barochory
Lissanthe strigosa,zoochory
Lissanthe strigosa,endozoochory
Lobelia anceps,barochory
Lobelia anceps,zoochory
Lobelia anceps,zoochory
Lobelia anceps,zoochory
Lobelia anceps,barochory
Lobelia purpurascens,barochory
Lobelia purpurascens,zoochory
Lomandra filiformis,myrmecochory
Lomandra filiformis,myrmecochory
Lomandra filiformis,myrmecochory
Lomandra filiformis,undefined
Lomandra filiformis,myrmecochory
Lomandra filiformis,barochory
Lomandra filiformis,myrmecochory
Lomandra longifolia,myrmecochory
Lomandra longifolia,myrmecochory
Lomandra longifolia,myrmecochory
Lomandra longifolia,myrmecochory
Lomandra longifolia,barochory
Lomandra longifolia,barochory
Lomandra longifolia,barochory
Lomandra longifolia,myrmecochory
Lomandra longifolia,myrmecochory
Lomandra multiflora,myrmecochory
Lomandra multiflora,myrmecochory
Lomandra multiflora,barochory
Lythrum hyssopifolia,barochory
Lythrum hyssopifolia,epizoochory
Lythrum hyssopifolia,anemochory
Macrozamia spiralis,barochory epizoochory
Melaleuca diosmatifolia,anemochory
Melaleuca linariifolia,anemochory
Mentha diemenica,undefined
Mentha diemenica,zoochory
Mentha diemenica,zoochory
Mentha diemenica,zoochory
Mentha diemenica,barochory
Microlaena stipoides,undefined
Microlaena stipoides,barochory
Microlaena stipoides,epizoochory
Microlaena stipoides,anemochory
Microlaena stipoides,epizoochory
Microlaena stipoides,epizoochory
Muellerina eucalyptoides,endozoochory
Muellerina eucalyptoides,endozoochory
Muellerina eucalyptoides,endozoochory
Muellerina eucalyptoides,endozoochory
Myoporum boninense,endozoochory
Myrsine variabilis,endozoochory
Myrsine variabilis,endozoochory
Myrsine variabilis,zoochory
Myrsine variabilis,endozoochory
Notelaea longifolia,endozoochory
Notelaea longifolia,endozoochory
Notelaea ovata,zoochory
Olearia microphylla,anemochory
Olearia microphylla,anemochory
Olearia viscidula,anemochory
Olearia viscidula,anemochory
Olearia viscidula,anemochory
Opercularia diphylla,myrmecochory
Opercularia diphylla,zoochory
Opercularia diphylla,zoochory
Opercularia varia,myrmecochory
Opercularia varia,undefined
Opercularia varia,myrmecochory
Opercularia varia,zoochory
Opercularia varia,myrmecochory
Oplismenus hirtellus,zoochory
Oplismenus hirtellus,barochory
Oplismenus hirtellus,barochory
Oplismenus hirtellus,epizoochory
Oplismenus hirtellus,zoochory
Oplismenus hirtellus,epizoochory
Oplismenus hirtellus,epizoochory
Oplismenus hirtellus,epizoochory
Oplismenus hirtellus,epizoochory
Oplismenus hirtellus,epizoochory
Oxalis perennans,anemochory
Oxalis perennans,barochory
Oxalis perennans,barochory
Oxalis perennans,ballistic
Oxalis thompsoniae,barochory
Ozothamnus diosmifolius,anemochory
Ozothamnus diosmifolius,anemochory
Ozothamnus diosmifolius,anemochory
Ozothamnus diosmifolius,anemochory
Ozothamnus diosmifolius,anemochory
Pandorea pandorana,anemochory
Pandorea pandorana,anemochory
Pandorea pandorana,anemochory
Pandorea pandorana,anemochory
Pandorea pandorana,anemochory
Pandorea pandorana,anemochory
Pandorea pandorana,anemochory
Pandorea pandorana,anemochory
Panicum simile,anemochory
Panicum simile,anemochory
Panicum simile,epizoochory
Panicum simile,epizoochory
Paspalidium criniforme,barochory
Paspalidium criniforme,epizoochory
Paspalidium distans,barochory
Paspalidium distans,barochory
Paspalidium distans,barochory
Paspalidium distans,anemochory
Paspalidium distans,epizoochory
Pelargonium inodorum,anemochory
Pelargonium inodorum,epizoochory
Pellaea falcata,anemochory
Pellaea falcata,anemochory
Pellaea falcata,anemochory
Pellaea falcata,anemochory
Pellaea falcata,anemochory
Persicaria decipiens,epizoochory
Persicaria decipiens,epizoochory
Persicaria decipiens,endozoochory
Persicaria lapathifolia,epizoochory
Persicaria lapathifolia,epizoochory
Persicaria lapathifolia,epizoochory
Persicaria lapathifolia,endozoochory
Persoonia linearis,endozoochory
Persoonia linearis,endozoochory
Persoonia linearis,zoochory
Persoonia linearis,endozoochory
Phragmites australis,anemochory hydrochory zoochory
Phragmites australis,anemochory
Phragmites australis,anemochory hydrochory zoochory
Phragmites australis,epizoochory hydrochory
Phragmites australis,anemochory
Phragmites australis,anemochory
Phragmites australis,anemochory
Phyllanthus gunnii,ballistic
Phyllanthus gunnii,zoochory
Phyllanthus gunnii,zoochory
Pimelea linifolia,myrmecochory
Pimelea linifolia,myrmecochory
Pimelea linifolia,myrmecochory
Pimelea linifolia,zoochory
Pimelea linifolia,zoochory
Pittosporum revolutum,zoochory
Pittosporum revolutum,myrmecochory zoochory
Pittosporum revolutum,endozoochory
Pittosporum undulatum,zoochory
Pittosporum undulatum,zoochory
Pittosporum undulatum,endozoochory
Pittosporum undulatum,myrmecochory zoochory
Pittosporum undulatum,endozoochory
Plantago debilis,barochory
Plantago debilis,epizoochory
Plantago debilis,barochory
Plectranthus parviflorus,zoochory
Poa sieberiana,anemochory
Poa sieberiana,barochory
Poa sieberiana,undefined
Poa sieberiana,epizoochory
Poa sieberiana,barochory
Polymeria calycina,barochory
