taxon_name,APC_name,family,genus,max_max_height,dispersal,growth_habit,life_history,photosynthetic_pathway,fire_response,water_association
Rubus parvifolius,Rubus parvifolius L.,Rosaceae,Rubus,1,endozoochory,climber_woody,perennial,c3,resprouting_possible,no
Rumex brownii,Rumex brownii Campd.,Polygonaceae,Rumex,1.05,epizoochory,herb,perennial,c3,resprouting_possible,no
Rytidosperma fulvum,Rytidosperma fulvum (Vickery) A.M.Humphreys & H.P.Linder,Poaceae,Rytidosperma,1.15,epizoochory,graminoid,perennial,c3,resprouting_possible,no
Rytidosperma setaceum,Rytidosperma setaceum (R.Br.) Connor & Edgar,Poaceae,Rytidosperma,1,epizoochory,graminoid,perennial,c3,resprouting_possible,no
Rytidosperma tenuius,Rytidosperma tenuius (Steud.) A.Hansen & Sunding,Poaceae,Rytidosperma,1.2,epizoochory,graminoid,perennial,c3,resprouting_possible,no
Scaevola albida,Scaevola albida (Sm.) Druce,Goodeniaceae,Scaevola,0.5,mixed,subshrub,perennial,c3,resprouting_possible,no
Schoenus apogon,Schoenus apogon Roem. & Schult.,Cyperaceae,Schoenus,0.25,mixed,graminoid,perennial,c3,resprouting_possible,yes
Senecio hispidulus,Senecio hispidulus A.Rich.,Asteraceae,Senecio,1.3,anemochory,herb,perennial,c3,resprouting_possible,no
Solenogyne bellioides,Solenogyne bellioides Cass.,Asteraceae,Solenogyne,0.18,anemochory,herb,perennial,c3,resprouting_possible,no
Stackhousia muricata,Stackhousia muricata Lindl.,Celastraceae,Stackhousia,0.6,zoochory,herb,perennial,c3,fire_killed,no
Themeda triandra,Themeda triandra Forssk.,Poaceae,Themeda,2,epizoochory,graminoid,perennial,c4,resprouting_possible,no
Thysanotus tuberosus,Thysanotus tuberosus R.Br.,Asparagaceae,Thysanotus,0.7,myrmecochory,herb,perennial,c3,resprouting_possible,no
Triglochin striata,Triglochin striata Ruiz & Pav.,Juncaginaceae,Triglochin,0.5,hydrochory,herb,perennial,c3,resprouting_possible,yes
Triptilodiscus pygmaeus,Triptilodiscus pygmaeus Turcz.,Asteraceae,Triptilodiscus,0.12,anemochory,herb,annual,c3,fire_killed,no
Typha orientalis,Typha orientalis C.Presl,Typhaceae,Typha,4.5,anemochory,herb,perennial,c3,resprouting_possible,yes
Veronica plebeia,Veronica plebeia R.Br.,Plantaginaceae,Veronica,0.4,barochory,herb,perennial,c3,resprouting_possible,no
Vincetoxicum barbatum,Vincetoxicum barbatum (R.Br.) Kuntze,Apocynaceae,Vincetoxicum,2,anemochory,climber_woody,perennial,c3,resprouting_possible,no
Vittadinia cuneata,Vittadinia cuneata DC.,Asteraceae,Vittadinia,0.4,anemochory,subshrub,perennial,c3,resprouting_possible,no
