taxon_name,APC_name,genus,family,maximum_height_metres,dispersal_syndrome,growth_habit,life_history,photosynthetic_pathway,fire_response,water_association,status
Dichelachne rara,Dichelachne rara (R.Br.) Vickery,Dichelachne,Poaceae,1.3,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct
Dichondra repens,Dichondra repens J.R.Forst. & G.Forst.,Dichondra,Convolvulaceae,0.1,barochory,herb,perennial,c3,resprouting_possible,no,persister
Digitaria parviflora,Digitaria parviflora (R.Br.) Hughes,Digitaria,Poaceae,1.5,anemochory,graminoid,perennial,c4,resprouting_possible,no,extinct
Digitaria ramularis,Digitaria ramularis (Trin.) Henrard,Digitaria,Poaceae,1,anemochory,graminoid,perennial,c4,resprouting_possible,no,extinct
Dillwynia sieberi,Dillwynia sieberi Steud.,Dillwynia,Fabaceae,2,zoochory,shrub,perennial,c3,resprouting_possible,no,persister
Diuris maculata,Diuris maculata Sm.,Diuris,Orchidaceae,0.3,anemochory,herb,perennial,c3,resprouting_possible,no,persister
Diuris sulphurea,Diuris sulphurea R.Br.,Diuris,Orchidaceae,0.6,anemochory,herb,perennial,c3,resprouting_possible,no,extinct
Dodonaea triquetra,Dodonaea triquetra J.C.Wendl.,Dodonaea,Sapindaceae,3.5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister
Drosera peltata,Drosera peltata Thunb.,Drosera,Droseraceae,0.8,mixed,herb,perennial,c3,resprouting_possible,yes,persister
Dysphania littoralis,Dysphania littoralis R.Br.,Dysphania,Chenopodiaceae,0.1,mixed,herb,short_lived_perennial,c3,fire_killed,no,extinct
Echinochloa telmatophila,Echinochloa telmatophila P.W.Michael & Vickery,Echinochloa,Poaceae,2,anemochory,graminoid,annual,c4,NA,yes,extinct
Echinopogon caespitosus,Echinopogon caespitosus C.E.Hubb.,Echinopogon,Poaceae,1.5,epizoochory,graminoid,perennial,c3,no_significant_fire_response,no,persister
Echinopogon ovatus,Echinopogon ovatus (G.Forst.) P.Beauv.,Echinopogon,Poaceae,1.2,epizoochory,graminoid,perennial,c3,resprouting_possible,no,persister
Einadia hastata,Einadia hastata (R.Br.) A.J.Scott,Einadia,Chenopodiaceae,2,endozoochory,shrub,perennial,c3,fire_killed,no,persister
Einadia nutans,Einadia nutans (R.Br.) A.J.Scott,Einadia,Chenopodiaceae,0.6,endozoochory,shrub,perennial,c3,fire_killed,no,extinct
Einadia polygonoides,Einadia polygonoides (Murr) Paul G.Wilson,Einadia,Chenopodiaceae,0.14,zoochory,herb,perennial,c3,fire_killed,no,persister
Einadia trigonos,Einadia trigonos (Schult.) Paul G.Wilson,Einadia,Chenopodiaceae,0.81,zoochory,herb,perennial,c3,fire_killed,no,persister
Eleocharis acuta,Eleocharis acuta R.Br.,Eleocharis,Cyperaceae,0.9,hydrochory,graminoid,perennial,c3,resprouting_possible,yes,extinct
Entolasia marginata,Entolasia marginata (R.Br.) Hughes,Entolasia,Poaceae,2,mixed,graminoid,perennial,c3,resprouting_possible,no,persister
Entolasia stricta,Entolasia stricta (R.Br.) Hughes,Entolasia,Poaceae,1.5,mixed,graminoid,perennial,c3,resprouting_possible,no,persister
Epilobium billardiereanum,Epilobium billardiereanum Ser.,Epilobium,Onagraceae,1,anemochory,herb,perennial,c3,resprouting_possible,no,persister
Eragrostis benthamii,Eragrostis benthamii Mattei,Eragrostis,Poaceae,0.6,anemochory,graminoid,perennial,c4,resprouting_possible,no,extinct
Eragrostis brownii,Eragrostis brownii (Kunth) Nees,Eragrostis,Poaceae,0.6,barochory,graminoid,perennial,c4,resprouting_possible,no,persister
Eragrostis elongata,Eragrostis elongata (Willd.) J.Jacq.,Eragrostis,Poaceae,0.9,epizoochory,graminoid,perennial,c4,fire_killed,no,extinct
Eragrostis leptostachya,Eragrostis leptostachya (R.Br.) Steud.,Eragrostis,Poaceae,1,mixed,graminoid,perennial,c4,resprouting_possible,no,persister
Eragrostis parviflora,Eragrostis parviflora (R.Br.) Trin.,Eragrostis,Poaceae,1.35,barochory,graminoid,perennial,c4,fire_killed,no,extinct
Eremophila debilis,Eremophila debilis (Andrews) Chinnock,Eremophila,Scrophulariaceae,2,endozoochory,shrub,perennial,c3,resprouting_possible,no,persister
Eriochloa pseudoacrotricha,Eriochloa pseudoacrotricha (Stapf ex Thell.) J.M.Black,Eriochloa,Poaceae,1,mixed,graminoid,perennial,c4,fire_killed,no,persister
Eucalyptus amplifolia,Eucalyptus amplifolia Naudin,Eucalyptus,Myrtaceae,30,barochory,tree,perennial,c3,resprouting_possible,no,persister
Eucalyptus eugenioides,Eucalyptus eugenioides Sieber ex Spreng.,Eucalyptus,Myrtaceae,30,mixed,tree,perennial,c3,resprouting_possible,no,persister
Eucalyptus fibrosa,Eucalyptus fibrosa F.Muell.,Eucalyptus,Myrtaceae,35,mixed,tree,perennial,c3,resprouting_possible,no,persister
Eucalyptus globoidea,Eucalyptus globoidea Blakely,Eucalyptus,Myrtaceae,40,barochory,tree,perennial,c3,resprouting_possible,no,persister
Eucalyptus longifolia,Eucalyptus longifolia Link,Eucalyptus,Myrtaceae,35,mixed,tree,perennial,c3,resprouting_possible,no,persister
Eucalyptus moluccana,Eucalyptus moluccana Roxb.,Eucalyptus,Myrtaceae,30,mixed,tree,perennial,c3,resprouting_possible,no,persister
Eucalyptus punctata,Eucalyptus punctata DC.,Eucalyptus,Myrtaceae,35,anemochory,tree,perennial,c3,resprouting_possible,no,persister
Eucalyptus resinifera,Eucalyptus resinifera J.White,Eucalyptus,Myrtaceae,45,mixed,tree,perennial,c3,resprouting_possible,no,persister
Eucalyptus sideroxylon,Eucalyptus sideroxylon A.Cunn. ex Woolls,Eucalyptus,Myrtaceae,35,anemochory,tree,perennial,c3,resprouting_possible,no,extinct
Eucalyptus tereticornis,Eucalyptus tereticornis Sm.,Eucalyptus,Myrtaceae,50,anemochory,tree,perennial,c3,resprouting_possible,no,persister
Euchiton sphaericus,Euchiton sphaericus (Willd.) Holub,Euchiton,Asteraceae,1,anemochory,herb,annual,c3,fire_killed,no,persister
Euphorbia drummondii,Euphorbia drummondii Boiss.,Euphorbia,Euphorbiaceae,0.3,barochory,herb,perennial,c4,fire_killed,no,extinct
Eustrephus latifolius,Eustrephus latifolius R.Br.,Eustrephus,Asparagaceae,10,endozoochory,climber_woody,perennial,c3,resprouting_possible,no,persister
Exocarpos cupressiformis,Exocarpos cupressiformis Labill.,Exocarpos,Santalaceae,10,endozoochory,tree,perennial,c3,resprouting_possible,no,persister
Exocarpos strictus,Exocarpos strictus R.Br.,Exocarpos,Santalaceae,6,endozoochory,shrub,perennial,c3,resprouting_possible,no,extinct
Gahnia aspera,Gahnia aspera (R.Br.) Spreng.,Gahnia,Cyperaceae,0.65,endozoochory,graminoid,perennial,c3,resprouting_possible,no,persister
Gahnia melanocarpa,Gahnia melanocarpa R.Br.,Gahnia,Cyperaceae,2,endozoochory,graminoid,perennial,c3,resprouting_possible,no,persister
Geranium solanderi,Geranium solanderi Carolin,Geranium,Geraniaceae,0.5,epizoochory,herb,perennial,c3,resprouting_possible,no,persister
Glochidion ferdinandi,Glochidion ferdinandi (Müll.Arg.) F.M.Bailey,Glochidion,Phyllanthaceae,35,mixed,tree,perennial,c3,resprouting_possible,no,persister
Glossocardia bidens,Glossocardia bidens (Retz.) Veldkamp,Glossocardia,Asteraceae,0.4,epizoochory,herb,perennial,c4,fire_killed,no,persister
Glycine clandestina,Glycine clandestina J.C.Wendl.,Glycine,Fabaceae,2,barochory,climber,perennial,c3,resprouting_possible,no,persister
