taxon_name,family,species_author,mesaglio_2024,maximum_height_metres,dispersal_syndrome,growth_habit,life_history,photosynthetic_pathway,fire_response,water_association,status,dispersal_coarse
Crassula sieberiana,Crassulaceae,Crassula sieberiana (Schult. & Schult.f.) Druce,yes,0.2,anemochory,herb,perennial,cam,resprouting_possible,no,persister,abiotic
Cyperus polystachyos,Cyperaceae,Cyperus polystachyos Rottb.,no,0.6,hydrochory,graminoid,perennial,c4,resprouting_possible,yes,extinct,abiotic
Eleocharis acuta,Cyperaceae,Eleocharis acuta R.Br.,no,0.9,mixed,graminoid,perennial,c3,resprouting_possible,yes,extinct,mixed
Bolboschoenus caldwellii,Cyperaceae,Bolboschoenus caldwellii (V.J.Cook) Soják,no,1.2,endozoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct,biotic
Cyperus mirus,Cyperaceae,Cyperus mirus C.B.Clarke,no,0.55,hydrochory,graminoid,perennial,c3,NA,yes,extinct,abiotic
Lepidosperma lineare,Cyperaceae,Lepidosperma lineare R.Br.,no,0.6,myrmecochory,graminoid,perennial,c3,resprouting_possible,no,extinct,biotic
Schoenus apogon,Cyperaceae,Schoenus apogon Roem. & Schult.,yes,0.25,mixed,graminoid,perennial,c3,resprouting_possible,yes,persister,mixed
Isolepis cernua,Cyperaceae,Isolepis cernua (Vahl) Roem. & Schult.,yes,0.3,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,persister,biotic
Lepidosperma laterale,Cyperaceae,Lepidosperma laterale R.Br.,yes,1,myrmecochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Carex inversa,Cyperaceae,Carex inversa R.Br.,yes,0.75,endozoochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Gahnia aspera,Cyperaceae,Gahnia aspera (R.Br.) Spreng.,yes,0.4,endozoochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Gahnia melanocarpa,Cyperaceae,Gahnia melanocarpa R.Br.,yes,2,endozoochory,graminoid,perennial,c3,resprouting_possible,no,persister,biotic
Pteridium esculentum,Dennstaedtiaceae,Pteridium esculentum (G.Forst.) Cockayne,yes,2.5,anemochory,fern,perennial,c3,resprouting_possible,no,persister,abiotic
Hibbertia diffusa,Dilleniaceae,Hibbertia diffusa R.Br. ex DC.,yes,0.5,zoochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Hibbertia pedunculata,Dilleniaceae,Hibbertia pedunculata R.Br. ex DC.,yes,0.4,zoochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Hibbertia aspera,Dilleniaceae,Hibbertia aspera DC.,yes,2,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Drosera peltata,Droseraceae,Drosera peltata Thunb.,yes,0.8,mixed,herb,perennial,c3,resprouting_possible,no,persister,mixed
Astroloma humifusum,Ericaceae,Astroloma humifusum (Cav.) R.Br.,no,0.7,endozoochory,shrub,perennial,c3,resprouting_possible,no,extinct,biotic
Leucopogon affinis,Ericaceae,Leucopogon affinis R.Br.,yes,3,endozoochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Leucopogon juniperinus,Ericaceae,Leucopogon juniperinus R.Br.,yes,1,endozoochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Lissanthe strigosa,Ericaceae,Lissanthe strigosa (Sm.) R.Br.,yes,1,endozoochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Euphorbia drummondii,Euphorbiaceae,Euphorbia drummondii Boiss.,no,0.3,barochory,herb,perennial,c4,fire_killed,no,extinct,abiotic
Homalanthus populifolius,Euphorbiaceae,Homalanthus populifolius Graham,yes,12,endozoochory,tree,perennial,c3,resprouting_possible,no,persister,biotic
Acacia stricta,Fabaceae,Acacia stricta (Andrews) Willd.,no,6,myrmecochory,tree,perennial,c3,resprouting_possible,no,extinct,biotic
Gompholobium glabratum,Fabaceae,Gompholobium glabratum DC.,no,0.4,myrmecochory,shrub,perennial,c3,resprouting_possible,no,extinct,biotic
Pultenaea retusa,Fabaceae,Pultenaea retusa Sm.,no,1,myrmecochory,shrub,perennial,c3,fire_killed,no,extinct,biotic
Acacia brownii,Fabaceae,Acacia brownii (Poir.) Steud.,yes,1,zoochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Acacia decurrens,Fabaceae,Acacia decurrens Willd.,yes,15,myrmecochory,tree,perennial,c3,resprouting_possible,no,persister,biotic
Bossiaea prostrata,Fabaceae,Bossiaea prostrata R.Br.,yes,1.5,myrmecochory,subshrub,perennial,c3,resprouting_possible,no,persister,biotic
Hovea linearis,Fabaceae,Hovea linearis (Sm.) R.Br.,yes,1.2,myrmecochory,subshrub,perennial,c3,resprouting_possible,no,persister,biotic
Acacia pubescens,Fabaceae,Acacia pubescens (Vent.) R.Br.,yes,5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Acacia ulicifolia,Fabaceae,Acacia ulicifolia (Salisb.) Court,yes,2.19,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Bossiaea buxifolia,Fabaceae,Bossiaea buxifolia A.Cunn.,yes,0.5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Chorizema parviflorum,Fabaceae,Chorizema parviflorum Benth.,yes,0.5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Daviesia ulicifolia,Fabaceae,Daviesia ulicifolia Andrews,yes,2.5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Dillwynia sieberi,Fabaceae,Dillwynia sieberi Steud.,yes,2.5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Hardenbergia violacea,Fabaceae,Hardenbergia violacea (Schneev.) Stearn,yes,2.5,myrmecochory,climber,perennial,c3,resprouting_possible,no,persister,biotic
Kennedia rubicunda,Fabaceae,Kennedia rubicunda (Schneev.) Vent.,yes,1.71,myrmecochory,climber,perennial,c3,resprouting_possible,no,persister,biotic
Glycine microphylla,Fabaceae,Glycine microphylla (Benth.) Tindale,yes,0.3,mixed,herb,perennial,c3,resprouting_possible,no,persister,mixed
Glycine clandestina,Fabaceae,Glycine clandestina J.C.Wendl.,yes,2,mixed,climber,perennial,c3,resprouting_possible,no,persister,mixed
Glycine tabacina,Fabaceae,Glycine tabacina (Labill.) Benth.,yes,0.3,mixed,climber,perennial,c3,resprouting_possible,no,persister,mixed
Jacksonia scoparia,Fabaceae,Jacksonia scoparia R.Br.,yes,12,epizoochory,tree,perennial,c3,resprouting_possible,no,persister,biotic
Desmodium rhytidophyllum,Fabaceae,Desmodium rhytidophyllum F.Muell. ex Benth.,yes,0.2,epizoochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Desmodium varians,Fabaceae,Desmodium varians (Labill.) G.Don,yes,0.5,epizoochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Zornia dyctiocarpa,Fabaceae,Zornia dyctiocarpa DC.,yes,0.3,epizoochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Indigofera australis,Fabaceae,Indigofera australis Willd.,yes,2.5,barochory,shrub,perennial,c3,resprouting_possible,no,persister,abiotic
Acacia binervia,Fabaceae,Acacia binervia (J.C.Wendl.) J.F.Macbr.,yes,16,zoochory,tree,perennial,c3,fire_killed,no,persister,biotic
Acacia falcata,Fabaceae,Acacia falcata Willd.,yes,5,zoochory,tree,perennial,c3,fire_killed,no,persister,biotic
Acacia longifolia,Fabaceae,Acacia longifolia (Andrews) Willd.,yes,10,myrmecochory,tree,perennial,c3,fire_killed,no,persister,biotic
Acacia parramattensis,Fabaceae,Acacia parramattensis Tindale,yes,15,myrmecochory,tree,perennial,c3,fire_killed,no,persister,biotic
Pultenaea villosa,Fabaceae,Pultenaea villosa Willd.,yes,2.13,myrmecochory,shrub,perennial,c3,fire_killed,no,persister,biotic
Geranium solanderi,Geraniaceae,Geranium solanderi Carolin,yes,0.5,epizoochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Pelargonium inodorum,Geraniaceae,Pelargonium inodorum Willd.,yes,0.4,mixed,herb,short_lived_perennial,c3,fire_killed,no,persister,mixed
Goodenia ovata,Goodeniaceae,Goodenia ovata Sm.,no,2.5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,extinct,biotic
Goodenia bellidifolia,Goodeniaceae,Goodenia bellidifolia Sm.,no,0.6,myrmecochory,herb,perennial,c3,resprouting_possible,no,extinct,biotic
Goodenia paniculata,Goodeniaceae,Goodenia paniculata Sm.,yes,0.5,myrmecochory,herb,perennial,c3,resprouting_possible,yes,persister,biotic
Goodenia hederacea,Goodeniaceae,Goodenia hederacea Sm.,yes,0.8,myrmecochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Scaevola albida,Goodeniaceae,Scaevola albida (Sm.) Druce,yes,0.5,mixed,herb,perennial,c3,fire_killed,no,persister,mixed
Gonocarpus tetragynus,Haloragaceae,Gonocarpus tetragynus Labill.,no,0.4,barochory,subshrub,perennial,c3,resprouting_possible,no,extinct,abiotic
Tricoryne simplex,Hemerocallidaceae,Tricoryne simplex R.Br.,no,0.3,mixed,herb,perennial,c3,resprouting_possible,no,extinct,mixed
Tricoryne elatior,Hemerocallidaceae,Tricoryne elatior R.Br.,no,0.7,barochory,herb,perennial,c3,resprouting_possible,no,extinct,abiotic
Caesia parviflora,Hemerocallidaceae,Caesia parviflora R.Br.,yes,0.5,myrmecochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Dianella caerulea,Hemerocallidaceae,Dianella caerulea Sims,yes,2,endozoochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Dianella longifolia,Hemerocallidaceae,Dianella longifolia R.Br.,yes,1.5,endozoochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Dianella revoluta,Hemerocallidaceae,Dianella revoluta R.Br.,yes,1.5,endozoochory,herb,perennial,c3,resprouting_possible,no,persister,biotic
Hypericum gramineum,Hypericaceae,Hypericum gramineum G.Forst.,yes,0.5,barochory,herb,perennial,c3,resprouting_possible,no,persister,abiotic
Hypoxis hygrometrica,Hypoxidaceae,Hypoxis hygrometrica Labill.,yes,0.2,barochory,herb,perennial,c3,resprouting_possible,no,persister,abiotic
Juncus mollis,Juncaceae,Juncus mollis L.A.S.Johnson,no,1.45,mixed,graminoid,perennial,c3,resprouting_possible,yes,extinct,mixed
Juncus procerus,Juncaceae,Juncus procerus E.Mey.,no,2.5,mixed,graminoid,perennial,c3,resprouting_possible,yes,extinct,mixed
Juncus vaginatus,Juncaceae,Juncus vaginatus R.Br.,no,1.7,mixed,graminoid,perennial,c3,resprouting_possible,yes,extinct,mixed
Juncus continuus,Juncaceae,Juncus continuus L.A.S.Johnson,no,1.15,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct,biotic
Juncus polyanthemus,Juncaceae,Juncus polyanthemus Buchenau,no,1.5,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct,biotic
Juncus remotiflorus,Juncaceae,Juncus remotiflorus L.A.S.Johnson,no,0.7,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct,biotic
Juncus homalocaulis,Juncaceae,Juncus homalocaulis F.Muell. ex Benth.,no,0.4,mixed,graminoid,perennial,c3,resprouting_possible,no,extinct,mixed
Juncus usitatus,Juncaceae,Juncus usitatus L.A.S.Johnson,yes,1.2,mixed,graminoid,perennial,c3,resprouting_possible,yes,persister,mixed
Juncus planifolius,Juncaceae,Juncus planifolius R.Br.,yes,0.75,barochory,graminoid,perennial,c3,resprouting_possible,yes,persister,abiotic
Juncus bufonius,Juncaceae,Juncus bufonius L.,yes,0.3,barochory,graminoid,annual,c3,fire_killed,yes,persister,abiotic
Juncus subsecundus,Juncaceae,Juncus subsecundus N.A.Wakef.,yes,1,mixed,graminoid,perennial,c3,resprouting_possible,no,persister,mixed
Triglochin striata,Juncaginaceae,Triglochin striata Ruiz & Pav.,yes,0.5,hydrochory,herb,perennial,c3,resprouting_possible,yes,persister,abiotic
Mentha diemenica,Lamiaceae,Mentha diemenica Spreng.,yes,0.5,mixed,herb,perennial,c3,resprouting_possible,no,persister,mixed
Plectranthus parviflorus,Lamiaceae,Plectranthus parviflorus Willd.,yes,1,endozoochory,shrub,perennial,cam,fire_killed,no,persister,biotic
Cassytha glabella,Lauraceae,Cassytha glabella R.Br.,no,1,endozoochory,climber,perennial,c3,fire_killed,no,extinct,biotic
Cassytha paniculata,Lauraceae,Cassytha paniculata R.Br.,yes,0.4,endozoochory,climber,perennial,c3,fire_killed,no,persister,biotic
Linum marginale,Linaceae,Linum marginale A.Cunn.,yes,1.2,mixed,herb,perennial,c3,resprouting_possible,no,persister,mixed
Mitrasacme polymorpha,Loganiaceae,Mitrasacme polymorpha R.Br.,no,0.3,mixed,herb,perennial,c3,resprouting_possible,no,extinct,mixed
Amyema miquelii,Loranthaceae,Amyema miquelii (Lehm. ex Miq.) Tiegh.,yes,NA,endozoochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Muellerina eucalyptoides,Loranthaceae,Muellerina eucalyptoides (DC.) Barlow,yes,NA,endozoochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
Amyema gaudichaudii,Loranthaceae,Amyema gaudichaudii (DC.) Tiegh.,yes,NA,endozoochory,shrub,perennial,c3,fire_killed,no,persister,biotic
Dendrophthoe vitellina,Loranthaceae,Dendrophthoe vitellina (F.Muell.) Tiegh.,yes,NA,endozoochory,shrub,perennial,c3,fire_killed,no,persister,biotic
Lythrum hyssopifolia,Lythraceae,Lythrum hyssopifolia L.,yes,0.6,mixed,herb,annual,c3,fire_killed,yes,persister,mixed
Commersonia dasyphylla,Malvaceae,Commersonia dasyphylla Andrews,no,4,zoochory,shrub,perennial,c3,fire_killed,no,extinct,biotic
Lasiopetalum parviflorum,Malvaceae,Lasiopetalum parviflorum Rudge,yes,1,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,biotic
