taxon_name,Family,Genus,Species with author,maximum_height_metres,dispersal_syndrome,growth_habit,life_history,photosynthetic_pathway,fire_response,water_association,status,log_height,dispersal_coarse
Callistemon pinifolius,Myrtaceae,Callistemon,Callistemon pinifolius (J.C.Wendl.) Sweet,4,anemochory,shrub,perennial,c3,resprouting_possible,no,persister,1.386294361,abiotic
Callistemon salignus,Myrtaceae,Callistemon,Callistemon salignus (Sm.) Colvill ex Sweet,15,anemochory,tree,perennial,c3,resprouting_possible,no,persister,2.708050201,abiotic
Calotis cuneifolia,Asteraceae,Calotis,Calotis cuneifolia R.Br.,0.6,epizoochory,herb,perennial,c3,resprouting_possible,no,persister,-0.510825624,biotic
Calotis lappulacea,Asteraceae,Calotis,Calotis lappulacea Benth.,0.5,epizoochory,shrub,perennial,c3,resprouting_possible,no,persister,-0.693147181,biotic
Carex inversa,Cyperaceae,Carex,Carex inversa R.Br.,0.75,endozoochory,graminoid,perennial,c3,resprouting_possible,no,persister,-0.287682072,biotic
Cassinia sifton,Asteraceae,Cassinia,Cassinia sifton Orchard,2,anemochory,shrub,perennial,c3,fire_killed,no,persister,0.693147181,abiotic
Casuarina glauca,Casuarinaceae,Casuarina,Casuarina glauca Sieber ex Spreng.,20,anemochory,tree,perennial,c3,resprouting_possible,yes,persister,2.995732274,abiotic
Centella asiatica,Apiaceae,Centella,Centella asiatica (L.) Urb.,0.4,barochory,herb,perennial,c3,resprouting_possible,yes,persister,-0.916290732,abiotic
Centipeda minima,Asteraceae,Centipeda,Centipeda minima (L.) A.Braun & Asch.,0.2,epizoochory,herb,perennial,c3,fire_killed,yes,persister,-1.609437912,biotic
Cheilanthes sieberi,Pteridaceae,Cheilanthes,Cheilanthes sieberi Kunze,0.5,barochory,fern,perennial,c3,resprouting_possible,no,persister,-0.693147181,abiotic
Chloris truncata,Poaceae,Chloris,Chloris truncata R.Br.,0.5,anemochory,graminoid,perennial,c4,resprouting_possible,no,persister,-0.693147181,abiotic
Chloris ventricosa,Poaceae,Chloris,Chloris ventricosa R.Br.,1,anemochory,graminoid,perennial,c4,resprouting_possible,no,persister,0,abiotic
Chorizema parviflorum,Fabaceae,Chorizema,Chorizema parviflorum Benth.,0.5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister,-0.693147181,biotic
Chrysocephalum apiculatum,Asteraceae,Chrysocephalum,Chrysocephalum apiculatum (Labill.) Steetz,0.8,anemochory,herb,perennial,c3,resprouting_possible,no,persister,-0.223143551,abiotic
Clematis aristata,Ranunculaceae,Clematis,Clematis aristata R.Br. ex Ker Gawl.,15,anemochory,climber_woody,perennial,c3,resprouting_possible,no,persister,2.708050201,abiotic
